Date,Close GLD,High GLD,Low GLD,Open GLD,Volume GLD,Close,Open,High,Low,Volume,ATR
2014-01-02,118.0,118.7300033569336,117.75,117.93000030517578,7551000,755.1,755.1,755.1,755.1,0.0,0.0
2014-01-03,119.29000091552734,119.62000274658203,118.58999633789062,118.63999938964844,5874400,587.44,587.44,587.44,587.44,0.0,83.82999999999998
2014-01-06,119.5,120.38999938964844,117.11000061035156,119.76000213623047,10106500,1010.65,1010.65,1010.65,1010.65,0.0,196.95666666666662
2014-01-07,118.81999969482422,118.91999816894531,118.12999725341797,118.45999908447266,6433700,643.37,643.37,643.37,643.37,0.0,239.53749999999997
2014-01-08,118.12000274658203,118.5199966430664,117.5,117.98999786376953,7428500,742.85,742.85,742.85,742.85,0.0,211.52599999999998
2014-01-09,118.45999908447266,118.69000244140625,117.98999786376953,118.11000061035156,3972800,397.28,397.28,397.28,397.28,0.0,233.86666666666665
2014-01-10,120.26000213623047,120.43000030517578,119.58000183105469,119.72000122070312,7993200,799.32,799.32,799.32,799.32,0.0,257.89142857142855
2014-01-13,121.0199966430664,121.04000091552734,120.19999694824219,120.2699966430664,5872700,587.27,587.27,587.27,587.27,0.0,252.16125
2014-01-14,119.88999938964844,121.05999755859375,119.72000122070312,120.54000091552734,7505400,750.54,750.54,750.54,750.54,0.0,242.28444444444443
2014-01-15,119.66000366210938,119.80999755859375,119.11000061035156,119.19000244140625,5474300,547.43,547.43,547.43,547.43,0.0,238.36700000000002
2014-01-16,119.79000091552734,119.95999908447266,119.56999969482422,119.83999633789062,3949500,394.95,394.95,394.95,394.95,0.0,230.5590909090909
2014-01-17,120.93000030517578,121.0199966430664,120.19999694824219,120.3499984741211,7923400,792.34,792.34,792.34,792.34,0.0,244.46166666666667
2014-01-21,119.69999694824219,119.97000122070312,119.2300033569336,119.2300033569336,6763500,676.35,676.35,676.35,676.35,0.0,234.57923076923078
2014-01-22,119.19000244140625,119.7699966430664,119.16999816894531,119.6500015258789,4891800,489.18,489.18,489.18,489.18,0.0,231.19285714285715
2014-01-23,121.79000091552734,122.0199966430664,120.97000122070312,120.97000122070312,11028200,1102.82,1102.82,1102.82,1102.82,0.0,275.0242857142857
2014-01-24,122.29000091552734,122.5,121.55000305175781,122.05999755859375,8515700,851.57,851.57,851.57,851.57,0.0,280.995
2014-01-27,120.95999908447266,122.05999755859375,120.72000122070312,121.6500015258789,7528600,752.86,752.86,752.86,752.86,0.0,257.81642857142856
2014-01-28,120.94999694824219,121.4000015258789,120.41000366210938,121.31999969482422,5149500,514.95,514.95,514.95,514.95,0.0,248.57571428571424
2014-01-29,122.47000122070312,122.51000213623047,121.12999725341797,122.19000244140625,12257500,1225.75,1225.75,1225.75,1225.75,0.0,292.24142857142857
2014-01-30,119.7699966430664,120.22000122070312,119.5999984741211,119.66999816894531,8746500,874.65,874.65,874.65,874.65,0.0,292.63642857142855
2014-01-31,120.08999633789062,120.86000061035156,119.45999908447266,120.6500015258789,7983100,798.31,798.31,798.31,798.31,0.0,269.3721428571429
2014-02-03,121.31999969482422,122.11000061035156,120.31999969482422,120.47000122070312,9267300,926.73,926.73,926.73,926.73,0.0,263.3985714285714
2014-02-04,120.98999786376953,121.08999633789062,120.38999938964844,120.41000366210938,7027400,702.74,702.74,702.74,702.74,0.0,267.7357142857143
2014-02-05,121.29000091552734,121.87999725341797,120.7300033569336,121.76000213623047,6800000,680.0,680.0,680.0,680.0,0.0,254.85214285714284
2014-02-06,121.23999786376953,121.51000213623047,120.77999877929688,121.37999725341797,4745800,474.58,474.58,474.58,474.58,0.0,258.63357142857143
2014-02-07,122.16999816894531,122.23999786376953,121.2300033569336,121.23999786376953,6674700,667.47,667.47,667.47,667.47,0.0,244.02642857142857
2014-02-10,122.91999816894531,123.16000366210938,122.72000122070312,122.80000305175781,7931200,793.12,793.12,793.12,793.12,0.0,244.71642857142857
2014-02-11,124.36000061035156,124.75,123.36000061035156,123.37999725341797,11546000,1154.6,1154.6,1154.6,1154.6,0.0,257.16714285714284
2014-02-12,124.43000030517578,124.9800033569336,124.12999725341797,124.4000015258789,6651900,665.19,665.19,665.19,665.19,0.0,248.2935714285714
2014-02-13,125.48999786376953,125.5999984741211,124.66000366210938,124.69999694824219,9167900,916.79,916.79,916.79,916.79,0.0,248.31857142857143
2014-02-14,127.1500015258789,127.37999725341797,126.75,126.98999786376953,11147900,1114.79,1114.79,1114.79,1114.79,0.0,255.41071428571428
2014-02-18,127.4000015258789,127.75,127.08999633789062,127.41999816894531,7685800,768.58,768.58,768.58,768.58,0.0,263.1464285714286
2014-02-19,126.2699966430664,127.44999694824219,126.16000366210938,127.26000213623047,9384100,938.41,938.41,938.41,938.41,0.0,224.50571428571428
2014-02-20,127.5999984741211,127.75,126.4000015258789,126.75,10572900,1057.29,1057.29,1057.29,1057.29,0.0,207.9185714285714
2014-02-21,127.58000183105469,128.07000732421875,127.1500015258789,127.56999969482422,7298200,729.82,729.82,729.82,729.82,0.0,225.85642857142855
2014-02-24,128.99000549316406,129.07000732421875,128.33999633789062,128.50999450683594,12114200,1211.42,1211.42,1211.42,1211.42,0.0,251.0835714285714
2014-02-25,129.2100067138672,129.52999877929688,128.57000732421875,128.6199951171875,5786000,578.6,578.6,578.6,578.6,0.0,280.2857142857142
2014-02-26,128.11000061035156,128.75999450683594,127.41999816894531,128.49000549316406,7052900,705.29,705.29,705.29,705.29,0.0,287.71071428571423
2014-02-27,128.1999969482422,128.8000030517578,127.88999938964844,128.39999389648438,5066500,506.65,506.65,506.65,506.65,0.0,287.2264285714285
2014-02-28,127.62000274658203,128.35000610351562,127.1500015258789,128.27000427246094,10584100,1058.41,1058.41,1058.41,1058.41,0.0,312.86
2014-03-03,130.2899932861328,130.58999633789062,129.80999755859375,130.0,11741100,1174.11,1174.11,1174.11,1174.11,0.0,312.14928571428567
2014-03-04,128.67999267578125,129.24000549316406,128.32000732421875,128.5399932861328,6341700,634.17,634.17,634.17,634.17,0.0,324.89642857142854
2014-03-05,128.88999938964844,129.33999633789062,128.5800018310547,128.7100067138672,4878500,487.85,487.85,487.85,487.85,0.0,300.38999999999993
2014-03-06,130.1699981689453,130.47000122070312,129.47000122070312,129.7100067138672,5408900,540.89,540.89,540.89,540.89,0.0,286.20714285714286
2014-03-07,129.08999633789062,129.22999572753906,128.2100067138672,128.25,7575000,757.5,757.5,757.5,757.5,0.0,287.53642857142853
2014-03-10,129.1300048828125,129.61000061035156,128.77999877929688,128.8800048828125,4169900,416.99,416.99,416.99,416.99,0.0,287.1292857142857
