timestamp,symbol,Open,High,Low,Close,Volume,trade_count,vwap,ATR,PrevClose
2022-01-03,AAPL,177.88,182.875,177.73,181.86,1219127.0,10239.0,181.453961,,
2022-01-04,AAPL,182.655,182.88,179.15,179.76,1475976.0,11429.0,180.699151,,181.86
2022-01-05,AAPL,179.66,180.09,174.775,174.835,1120583.0,9890.0,177.463432,,179.76
2022-01-06,AAPL,172.43,175.27,171.64,172.02,1637766.0,14293.0,173.164102,,174.835
2022-01-07,AAPL,172.79,174.11,171.04,172.2,874794.0,8283.0,172.515179,,172.02
2022-01-10,AAPL,169.02,172.5,168.19,172.17,1450286.0,12292.0,170.132654,,172.2
2022-01-11,AAPL,172.32,175.175,170.83,174.93,956582.0,8412.0,173.742461,,172.17
2022-01-12,AAPL,176.07,177.15,174.88,175.49,703980.0,6454.0,175.841243,,174.93
2022-01-13,AAPL,175.7,176.6,171.8,172.285,1203412.0,9312.0,174.264858,,175.49
2022-01-14,AAPL,171.35,173.73,171.13,173.07,966191.0,9806.0,172.284445,,172.285
2022-01-18,AAPL,171.49,172.52,169.405,169.84,1114017.0,11390.0,170.623834,,173.07
2022-01-19,AAPL,169.9,171.06,166.0,166.21,1070644.0,9803.0,168.543667,,169.84
2022-01-20,AAPL,166.87,169.62,164.26,164.66,1374541.0,12982.0,167.365793,,166.21
2022-01-21,AAPL,164.39,166.27,162.34,162.42,1596315.0,14252.0,163.915873,4.087857142857146,164.66
2022-01-24,AAPL,160.06,162.245,154.71,162.23,2504284.0,22654.0,158.411093,4.27107142857143,162.42
2022-01-25,AAPL,158.8,162.725,157.065,159.91,1200529.0,13687.0,159.399971,4.408928571428573,162.23
2022-01-26,AAPL,163.475,164.35,157.9,159.47,2149874.0,18355.0,161.661833,4.490000000000001,159.91
2022-01-27,AAPL,162.485,163.82,158.29,159.01,2281900.0,19923.0,160.635586,4.6257142857142854,159.47
2022-01-28,AAPL,165.765,170.35,162.81,170.325,3556890.0,27334.0,167.558135,5.21642857142857,159.01
2022-01-31,AAPL,170.14,174.93,169.555,174.88,1918171.0,17267.0,173.142739,5.292499999999998,170.325
2022-02-01,AAPL,174.0,174.78,172.36,174.54,1094581.0,10621.0,173.474876,5.162142857142854,174.88
2022-02-02,AAPL,174.82,175.88,173.33,175.58,1304266.0,11695.0,174.8305,5.182142857142852,174.54
2022-02-03,AAPL,174.54,176.19,172.15,173.17,1266678.0,11441.0,174.471013,5.127857142857138,175.58
2022-02-04,AAPL,171.61,174.09,170.715,172.27,1200673.0,12297.0,172.322942,5.183214285714281,173.17
2022-02-07,AAPL,172.8,173.94,170.95,171.67,946044.0,9914.0,172.548147,5.134999999999997,172.27
2022-02-08,AAPL,171.68,175.35,171.45,174.82,1132606.0,10707.0,173.881474,5.052142857142854,171.67
2022-02-09,AAPL,176.17,176.64,174.91,176.25,1026226.0,10398.0,175.739543,4.79928571428571,174.82
2022-02-10,AAPL,174.13,175.47,171.57,172.33,1505201.0,14268.0,173.661755,4.852857142857139,176.25
2022-02-11,AAPL,172.3,173.02,168.065,168.58,1378827.0,14653.0,170.422388,4.656071428571427,172.33
2022-02-14,AAPL,167.24,169.57,166.565,168.94,1277580.0,11922.0,168.348021,4.46642857142857,168.58
2022-02-15,AAPL,170.88,172.915,170.28,172.82,1154671.0,11834.0,171.597729,4.289642857142856,168.94
2022-02-16,AAPL,171.8,173.31,170.09,172.49,978228.0,9715.0,171.595968,4.124642857142855,172.82
2022-02-17,AAPL,170.92,171.89,168.49,168.92,1295192.0,11513.0,170.375618,3.600357142857141,172.49
2022-02-18,AAPL,169.95,170.52,166.23,167.44,1150574.0,11198.0,167.775466,3.5228571428571422,168.92
2022-02-22,AAPL,164.94,166.66,162.18,164.31,1551166.0,15497.0,164.540918,3.718571428571429,167.44
2022-02-23,AAPL,165.58,166.15,159.78,160.17,1406364.0,12849.0,162.359015,3.9914285714285733,164.31
2022-02-24,AAPL,152.69,162.83,152.04,162.56,2096318.0,21984.0,157.696517,4.473571428571432,160.17
2022-02-25,AAPL,163.75,165.02,160.9,164.85,1584117.0,14491.0,163.673454,4.526785714285718,162.56
2022-02-28,AAPL,163.14,165.4,162.46,165.28,1469755.0,14813.0,164.085237,4.523214285714289,164.85
2022-03-01,AAPL,164.695,166.6,162.0,163.18,1222801.0,12624.0,164.091811,4.573214285714288,165.28
2022-03-02,AAPL,164.47,167.35,162.96,166.46,1177337.0,12797.0,165.953093,4.756785714285717,163.18
2022-03-03,AAPL,168.49,168.9,165.56,166.27,1058211.0,10449.0,166.911969,4.6610714285714305,166.46
2022-03-04,AAPL,164.59,165.52,162.14,163.2,1494370.0,13030.0,163.306508,4.6021428571428595,166.27
2022-03-07,AAPL,163.45,165.0,159.115,159.48,1773062.0,15371.0,161.692613,4.807857142857145,163.2
2022-03-08,AAPL,158.88,162.88,155.81,157.29,1837504.0,17409.0,158.70947,5.028928571428573,159.48
2022-03-09,AAPL,161.48,163.395,159.42,162.94,1739802.0,16044.0,162.05671,5.235000000000004,157.29
2022-03-10,AAPL,160.23,160.38,155.98,158.52,1920578.0,17422.0,157.833961,5.446428571428576,162.94
2022-03-11,AAPL,158.94,159.25,154.505,154.76,1610849.0,14249.0,156.239258,5.4789285714285745,158.52
2022-03-14,AAPL,151.56,154.1,150.1,150.63,1911180.0,17006.0,151.816922,5.436071428571432,154.76
2022-03-15,AAPL,150.975,155.54,150.385,155.08,1523090.0,14045.0,153.415313,5.349285714285718,150.63
2022-03-16,AAPL,157.035,159.95,154.47,159.655,1807299.0,16501.0,157.416953,4.970000000000001,155.08
2022-03-17,AAPL,158.61,161.0,157.64,161.0,1332754.0,13438.0,159.248198,4.915714285714287,159.655
2022-03-18,AAPL,160.36,164.47,159.765,163.88,1845737.0,16581.0,162.498893,5.041785714285717,161.0
2022-03-21,AAPL,163.73,166.335,163.02,165.38,1374468.0,15804.0,164.575329,4.950000000000003,163.88
2022-03-22,AAPL,165.57,169.42,164.94,168.83,1294834.0,12858.0,168.318979,4.9564285714285745,165.38
2022-03-23,AAPL,168.01,172.625,167.66,170.31,1650325.0,15233.0,170.947948,5.072500000000003,168.83
2022-03-24,AAPL,171.255,174.125,170.25,174.045,1796208.0,14300.0,172.542083,5.054285714285716,170.31
2022-03-25,AAPL,173.83,175.275,172.75,174.57,1227210.0,11653.0,173.977123,4.814285714285717,174.045
2022-03-28,AAPL,172.14,175.72,172.02,175.61,1403831.0,12816.0,174.449328,4.573571428571431,174.57
2022-03-29,AAPL,176.86,179.0,176.35,179.0,1842481.0,16006.0,177.826147,4.379642857142857,175.61
2022-03-30,AAPL,178.55,179.595,176.71,177.59,1854238.0,15673.0,178.147016,4.088571428571427,179.0
2022-03-31,AAPL,177.835,177.96,174.42,174.67,1936210.0,15977.0,176.102955,4.0024999999999995,177.59
2022-04-01,AAPL,174.145,174.88,171.95,174.26,1642586.0,15669.0,173.290928,3.8789285714285717,174.67
2022-04-04,AAPL,174.655,178.48,174.44,178.47,1721952.0,16229.0,177.444851,3.8121428571428573,174.26
2022-04-05,AAPL,177.52,178.3,174.435,175.16,1641579.0,15885.0,176.013902,3.7089285714285722,178.47
