Date,Close NEM,High NEM,Low NEM,Open NEM,Volume NEM,Close,Open,High,Low,Volume,ATR
2014-01-02,18.584131240844727,18.8245780866802,18.157534479807218,18.204071958607727,12162400,1216.24,1216.24,1216.24,1216.24,0.0,0.0
2014-01-03,18.5531063079834,18.840090625811374,18.52208033658589,18.747014191018593,10233600,1023.36,1023.36,1023.36,1023.36,0.0,96.44
2014-01-06,18.67720603942871,19.03399729066662,18.615155580004682,18.80906345062973,9276100,927.61,927.61,927.61,927.61,0.0,96.21
2014-01-07,18.576374053955078,18.599642050933312,18.23509579741146,18.49881061209522,8783800,878.38,878.38,878.38,878.38,0.0,84.465
2014-01-08,18.149778366088867,18.40573672394064,18.09548439312028,18.374712230558508,8027400,802.74,802.74,802.74,802.74,0.0,82.7
2014-01-09,17.99465560913086,18.15753755219332,17.932605133764202,18.06446257884335,7136000,713.6,713.6,713.6,713.6,0.0,83.77333333333333
2014-01-10,18.46003532409668,18.646188248649747,18.273883878943792,18.366960341220327,8471900,847.19,847.19,847.19,847.19,0.0,90.89
2014-01-13,18.52208137512207,18.584131841996523,18.250611507171232,18.584131841996523,8471700,847.17,847.17,847.17,847.17,0.0,79.53125000000001
2014-01-14,18.15753936767578,18.708238686091583,18.033438404534227,18.429010779322997,9800500,980.05,980.05,980.05,980.05,0.0,85.45888888888891
2014-01-15,18.289392471313477,18.467787378429385,18.01016463102783,18.04894709740074,6889500,688.95,688.95,688.95,688.95,0.0,106.023
2014-01-16,18.576374053955078,18.58412906668142,18.26612028651564,18.49881061209522,6367800,636.78,636.78,636.78,636.78,0.0,101.12727272727274
2014-01-17,19.041759490966797,19.29771791762785,18.747020067302635,18.7547765625833,12786900,1278.69,1278.69,1278.69,1278.69,0.0,146.19250000000002
2014-01-21,19.251182556152344,19.48387300212685,18.840098616578015,18.886636114012767,10718900,1071.89,1071.89,1071.89,1071.89,0.0,150.85461538461539
2014-01-22,18.91765594482422,19.15810282752613,18.684967035744958,19.142589839080845,8278800,827.88,827.88,827.88,827.88,0.0,157.50857142857146
