Date,Close GOOG,High GOOG,Low GOOG,Open GOOG,Volume GOOG,Close,Open,High,Low,Volume,ATR
2014-01-02,27.5356502532959,27.65018476601493,27.415426902639467,27.59353697352672,73129082,731.29082,731.29082,731.29082,731.29082,0.0,0.0
2014-01-03,27.334781646728516,27.629898388742816,27.33305017898643,27.582156102051258,66917888,669.17888,669.17888,669.17888,669.17888,0.0,31.055970000000002
2014-01-06,27.63954734802246,27.67764153391479,27.37040450817628,27.532929471638443,71037271,710.37271,710.37271,710.37271,710.37271,0.0,34.435256666666646
2014-01-07,28.172388076782227,28.19292131432382,27.734538903151073,27.829529043389844,102486711,1024.86711,1024.86711,1024.86711,1024.86711,0.0,104.45004249999997
2014-01-08,28.23101806640625,28.381669026309478,28.034602555866844,28.34901551362979,90036218,900.36218,900.36218,900.36218,900.36218,0.0,108.46101999999996
2014-01-09,27.959152221679688,28.30498164922738,27.843382574306048,28.285687339460058,83692529,836.92529,836.92529,836.92529,836.92529,0.0,100.95699833333329
2014-01-10,27.95766830444336,28.17783181329073,27.761500968051177,28.17783181329073,86061375,860.61375,860.61375,860.61375,860.61375,0.0,89.91863571428567
2014-01-13,27.77956199645996,28.371526980670907,27.635836905296575,27.865894801421,97118665,971.18665,971.18665,971.18665,971.18665,0.0,92.50041874999997
2014-01-14,28.433120727539062,28.472702006119945,27.90596834063465,28.149879871393793,99676216,996.76216,996.76216,996.76216,996.76216,0.0,85.06431777777775
2014-01-15,28.4138240814209,28.571649065151206,28.294343339764783,28.521927148164824,78300393,783.00393,783.00393,783.00393,783.00393,0.0,97.93370899999998
2014-01-16,28.601829528808594,28.64413114217006,28.398488155024157,28.425699098791473,67608467,676.08467,676.08467,676.08467,676.08467,0.0,98.75057727272724
2014-01-17,28.461074829101562,28.710921456089746,28.30448687310696,28.617414620682908,108457005,1084.57005,1084.57005,1084.57005,1084.57005,0.0,124.56181083333331
2014-01-21,28.786865234375,28.794285539714323,28.48012076119171,28.718341546671674,79492846,794.92846,794.92846,794.92846,794.92846,0.0,137.2602553846154
2014-01-22,28.819520950317383,28.890516815642055,28.66713851813627,28.85885217095593,63091600,630.916,630.916,630.916,630.916,0.0,139.17112714285713
2014-01-23,28.697811126708984,28.75693298445237,28.556065672391608,28.695337060054722,78256228,782.56228,782.56228,782.56228,782.56228,0.0,150.00300428571427
2014-01-24,27.80058479309082,28.535778460754816,27.780053451291753,28.472945507738437,156283602,1562.83602,1562.83602,1562.83602,1562.83602,0.0,201.30027571428568
2014-01-27,27.24152183532715,27.86663664468728,26.772502446568886,27.85674227240359,174796734,1747.96734,1747.96734,1747.96734,1747.96734,0.0,211.58152499999997
2014-01-28,27.78030014038086,27.84808122735747,27.45698359774853,27.466383534964237,88739375,887.39375,887.39375,887.39375,887.39375,0.0,250.58718142857143
2014-01-29,27.38227653503418,27.749131721367924,27.196746174783588,27.684072865551574,95552818,955.52818,955.52818,955.52818,955.52818,0.0,246.56071714285713
2014-01-30,28.086551666259766,28.50956215271654,27.885189907492578,28.324278039410594,204419353,2044.19353,2044.19353,2044.19353,2044.19353,0.0,319.7913214285714
2014-01-31,29.21407699584961,29.351863170367675,28.47591485448023,28.976102499339945,223486554,2234.86554,2234.86554,2234.86554,2234.86554,0.0,331.71871785714285
2014-02-03,28.038066864013672,29.232633841681583,28.002941177308006,29.17029531442329,183449044,1834.49044,1834.49044,1834.49044,1834.49044,0.0,352.4188749999999
2014-02-04,28.155075073242188,28.571652224004687,28.126627094047002,28.150869538593902,112897588,1128.97588,1128.97588,1128.97588,1128.97588,0.0,400.98594999999995
2014-02-05,28.279748916625977,28.467010757250083,27.904236366465913,28.2842026154991,96139007,961.39007,961.39007,961.39007,961.39007,0.0,397.68791999999996
2014-02-06,28.69434928894043,28.69929742243826,28.387358524115044,28.47591912629348,78155853,781.55853,781.55853,781.55853,781.55853,0.0,402.89593999999994
2014-02-07,29.12675666809082,29.138136238058884,28.709190669910324,28.884082176323094,105843245,1058.43245,1058.43245,1058.43245,1058.43245,0.0,393.4951214285714
2014-02-10,29.01519203186035,29.249453556166515,28.91846853044904,28.987236594704044,78099643,780.99643,780.99643,780.99643,780.99643,0.0,392.6232949999999
2014-02-11,29.441909790039062,29.483716969173276,28.99738101995804,29.194289063854345,82339476,823.39476,823.39476,823.39476,823.39476,0.0,383.93657142857137
2014-02-12,29.355575561523438,29.437456553676025,29.22422081717741,29.412717783194555,69238554,692.38554,692.38554,692.38554,692.38554,0.0,382.46249571428564
2014-02-13,29.682357788085938,29.682357788085938,29.181671883576847,29.20863655692071,73731331,737.31331,737.31331,737.31331,737.31331,0.0,329.93778357142855
2014-02-14,29.75409507751465,29.793428190223022,29.506722514605407,29.576233178026314,87795852,877.95852,877.95852,877.95852,877.95852,0.0,326.7602042857142
2014-02-18,29.953975677490234,30.003203165836588,29.684834718826675,29.71971413525987,84672187,846.72187,846.72187,846.72187,846.72187,0.0,267.52185142857144
2014-02-19,29.742717742919922,29.91291117447255,29.62298883005175,29.815939507107455,84459392,844.59392,844.59392,844.59392,844.59392,0.0,262.80710285714287
2014-02-20,29.786502838134766,29.855272798276147,29.690273769066902,29.762506664780382,68287001,682.87001,682.87001,682.87001,682.87001,0.0,196.59699999999998
2014-02-21,29.77858543395996,29.928988223732787,29.755085590053216,29.87802927160934,74771214,747.71214,747.71214,747.71214,747.71214,0.0,187.60915142857144
2014-02-24,29.994295120239258,30.183536587149142,29.810990655384472,29.817423986264846,67223027,672.23027,672.23027,672.23027,672.23027,0.0,164.40249214285717
2014-02-25,30.179574966430664,30.290892799079533,29.942591231555948,30.079142268161164,57763704,577.63704,577.63704,577.63704,577.63704,0.0,120.76525428571429
2014-02-26,30.18378448486328,30.39924613029202,30.025216898510845,30.27852645811018,79585191,795.85191,795.85191,795.85191,795.85191,0.0,124.3816157142857
2014-02-27,30.160037994384766,30.284220616052426,30.105616101332295,30.139754813901863,50588912,505.88912,505.88912,505.88912,505.88912,0.0,132.24813357142858
2014-02-28,30.071969985961914,30.283226094790404,29.838697337082984,30.18798779376685,92890878,928.90878,928.90878,928.90878,928.90878,0.0,142.687115
2014-03-03,29.75137710571289,29.8787744972215,29.490397155658123,29.851809821076763,84507572,845.07572,845.07572,845.07572,845.07572,0.0,128.85833214285714
