Date,Close PFE,High PFE,Low PFE,Open PFE,Volume PFE,Close,Open,High,Low,Volume,ATR
2014-01-02,17.861345291137695,17.943438546793743,17.785114408008216,17.867208842504503,18366266,183.66266,183.66266,183.66266,183.66266,0.0,0.0
2014-01-03,17.896522521972656,18.07830317051695,17.814428111587485,17.820292840072064,15847312,158.47312,158.47312,158.47312,158.47312,0.0,12.594769999999997
2014-01-06,17.914119720458984,18.148674743805607,17.90239143881354,18.043124924357617,25255421,252.55421,252.55421,252.55421,252.55421,0.0,39.75687666666667
2014-01-07,18.025529861450195,18.18971870202514,18.025529861450195,18.095896002193726,23423042,234.23042,234.23042,234.23042,234.23042,0.0,34.398605
2014-01-08,18.1486759185791,18.172131304548017,17.97275993439206,18.048989644080958,24161053,241.61053,241.61053,241.61053,241.61053,0.0,28.994906000000004
2014-01-09,18.136945724487305,18.24836026964665,17.9493026565141,18.224903707309796,21692901,216.92901,216.92901,216.92901,216.92901,0.0,28.276008333333337
2014-01-10,17.996206283569336,18.148666805229436,17.884792961453076,18.08416423149479,22890877,228.90877,228.90877,228.90877,228.90877,0.0,25.94797285714286
2014-01-13,17.908254623413086,18.195583942264477,17.849615577927445,18.0958976828229,25276396,252.76396,252.76396,252.76396,252.76396,0.0,25.686375
2014-01-14,18.177995681762695,18.207315799685464,17.914121693500057,17.93171352848564,34757336,347.57336,347.57336,347.57336,347.57336,0.0,33.36671111111111
2014-01-15,18.283544540405273,18.359774249501275,18.090036723536524,18.207314831309272,30372907,303.72907,303.72907,303.72907,303.72907,0.0,34.414469
2014-01-16,18.277677536010742,18.424274553614307,18.230766773299226,18.28354108663966,19576047,195.76047,195.76047,195.76047,195.76047,0.0,41.10120818181818
2014-01-17,18.23076629638672,18.348043200097578,18.148671874369086,18.324587819355404,22790853,227.90853,227.90853,227.90853,227.90853,0.0,40.3551125
2014-01-21,18.312864303588867,18.418414133807072,18.148676595680836,18.365639808118157,25355656,253.55656,253.55656,253.55656,253.55656,0.0,39.22379846153846
2014-01-22,18.336313247680664,18.377359273466382,18.230763461334828,18.35976744593543,23554265,235.54265,235.54265,235.54265,235.54265,0.0,37.70880642857143
2014-01-23,18.183856964111328,18.312862166116084,18.125219093265702,18.189721694268076,26367391,263.67391,263.67391,263.67391,263.67391,0.0,39.71818214285714
2014-01-24,17.644380569458008,18.15453660738046,17.62678873804548,18.095897562285415,38059518,380.59518,380.59518,380.59518,380.59518,0.0,46.270448571428574
2014-01-27,17.392230987548828,17.73819929489878,17.392230987548828,17.61505885215453,34880233,348.80233,348.80233,348.80233,348.80233,0.0,41.821288571428575
