Date,Close SPG,High SPG,Low SPG,Open SPG,Volume SPG,Close,Open,High,Low,Volume,ATR
2014-01-02,81.71481323242188,82.34880042611503,81.13992055769712,81.87599198604535,1465346,146.5346,146.5346,146.5346,146.5346,0.0,0.0
2014-01-03,82.71415710449219,83.03653207803214,81.43006033759218,81.74168134494084,1215541,121.5541,121.5541,121.5541,121.5541,0.0,12.490250000000003
2014-01-06,83.27291870117188,83.4985776726185,82.62818625251334,82.75713797107733,1563567,156.3567,156.3567,156.3567,156.3567,0.0,19.927699999999998
2014-01-07,83.21381378173828,83.81556515390896,82.57981794791615,83.27290829375406,1765324,176.5324,176.5324,176.5324,176.5324,0.0,19.9897
2014-01-08,82.92906951904297,83.43411375947416,82.27359176044494,83.16547376231212,1784139,178.4139,178.4139,178.4139,178.4139,0.0,16.368060000000003
2014-01-09,82.84846496582031,83.18695340960727,82.10164831128601,82.89145468012224,1376054,137.6054,137.6054,137.6054,137.6054,0.0,20.44146666666667
2014-01-10,83.65437316894531,83.89077734834912,83.16007431334815,83.39111022591402,1665721,166.5721,166.5721,166.5721,166.5721,0.0,21.659357142857147
2014-01-13,83.36964416503906,84.14332842038849,83.0795136586232,83.09025891016744,1326305,132.6305,132.6305,132.6305,132.6305,0.0,23.194637500000002
2014-01-14,83.94451904296875,84.13256528185252,83.00965611637605,83.36425809339805,1502125,150.2125,150.2125,150.2125,150.2125,0.0,22.571011111111112
2014-01-15,84.44956970214844,84.83641617461137,83.48247095043345,83.94452546654033,1588228,158.8228,158.8228,158.8228,158.8228,0.0,21.17494
2014-01-16,84.5677719116211,84.72895067141116,84.11645395476745,84.11645395476745,889412,88.9412,88.9412,88.9412,88.9412,0.0,25.602818181818183
2014-01-17,84.19702911376953,84.73430895729258,83.85854072081749,84.54625404028447,1668272,166.8272,166.8272,166.8272,166.8272,0.0,29.959750000000003
2014-01-21,84.84178924560547,85.26623976391784,83.7994649617999,84.44420621416216,1797852,179.7852,179.7852,179.7852,179.7852,0.0,28.65192307692308
2014-01-22,84.60000610351562,85.4166712822211,84.4817996337953,85.00833433550808,1297923,129.7923,129.7923,129.7923,129.7923,0.0,30.176278571428572
2014-01-23,83.88542175292969,84.83102989866609,83.58454603770811,84.19704271816919,1574835,157.4835,157.4835,157.4835,157.4835,0.0,32.154221428571425
2014-01-24,82.30583953857422,83.69738900115756,82.30583953857422,83.64903972061539,2225284,222.5284,222.5284,222.5284,222.5284,0.0,35.01596428571428
2014-01-27,81.62884521484375,82.88071484034165,81.24200747863613,82.37029365018911,1999397,199.9397,199.9397,199.9397,199.9397,0.0,34.14354285714286
2014-01-28,81.69332122802734,82.3702894102243,81.61809576300084,81.68257597798359,1348947,134.8947,134.8947,134.8947,134.8947,0.0,37.34849285714286
2014-01-29,80.92500305175781,81.76315867554479,80.37697788563864,81.17215251047038,1951774,195.1774,195.1774,195.1774,195.1774,0.0,41.52000714285714
2014-01-30,82.17687225341797,82.28970174455615,81.2420092865255,81.3602157604421,1932109,193.2109,193.2109,193.2109,193.2109,0.0,38.74557857142857
2014-01-31,83.19233703613281,83.8102020265478,81.82764661681763,82.20911609065274,2624866,262.4866,262.4866,262.4866,262.4866,0.0,41.62479285714286
2014-02-03,81.22589874267578,82.79474899579448,80.9948627691589,82.79474899579448,2096768,209.6768,209.6768,209.6768,209.6768,0.0,42.97252142857143
2014-02-04,82.42404174804688,82.59597451788471,80.8122101577302,81.36560378221562,1903302,190.3302,190.3302,190.3302,190.3302,0.0,43.09856428571429
2014-02-05,82.70340728759766,82.88071699914526,81.8598833069711,82.20374004974776,1531677,153.1677,153.1677,153.1677,153.1677,0.0,45.13800714285714
2014-02-06,83.45022583007812,83.69199831218913,82.56908047210521,82.692655204338,1512011,151.2011,151.2011,151.2011,151.2011,0.0,40.28693571428572
2014-02-07,84.33672332763672,84.41194007094755,82.55832796511147,83.82631092594835,1690808,169.0808,169.0808,169.0808,169.0808,0.0,36.00077142857143
2014-02-10,85.07283020019531,85.42744099618417,84.1916932664351,84.58928507655034,1523385,152.3385,152.3385,152.3385,152.3385,0.0,36.271078571428575
2014-02-11,85.53485107421875,85.79274574568794,84.71281780027984,84.93846801243649,1577598,157.7598,157.7598,157.7598,157.7598,0.0,33.08739285714286
2014-02-12,85.5294418334961,85.77312764400534,85.02040085824312,85.37780905597306,1133902,113.3902,113.3902,113.3902,113.3902,0.0,34.27870714285715
2014-02-13,85.95729064941406,86.42300191319988,85.09084107956072,85.18831369167371,1170044,117.0044,117.0044,117.0044,117.0044,0.0,29.890800000000006
2014-02-14,86.74789428710938,86.93201795148016,85.76231181003719,85.81646324553218,1069165,106.9165,106.9165,106.9165,106.9165,0.0,28.99788571428572
2014-02-18,86.7912368774414,86.90495930041087,85.84896662765001,86.7912368774414,1499999,149.9999,149.9999,149.9999,149.9999,0.0,27.429200000000005
2014-02-19,86.74246978759766,87.56559782772742,86.40130262251907,86.42838272781856,1347990,134.799,134.799,134.799,134.799,0.0,24.20907142857143
2014-02-20,86.6016845703125,87.18653766501441,86.09265227210025,86.6666750792591,1126142,112.6142,112.6142,112.6142,112.6142,0.0,25.65323571428572
2014-02-21,86.40673828125,87.02408223062707,85.9572681784716,86.45005943086409,1293246,129.3246,129.3246,129.3246,129.3246,0.0,21.898571428571437
2014-02-24,86.59626770019531,87.5872696832783,86.31467146028274,86.50962540597224,1535929,153.5929,153.5929,153.5929,153.5929,0.0,19.859892857142857
2014-02-25,86.2984390258789,86.90496155870673,86.14139544411428,86.6396063036528,1285911,128.5911,128.5911,128.5911,128.5911,0.0,20.263835714285715
2014-02-26,87.21903991699219,87.44647596219119,86.61251744539616,86.92661336090502,1533484,153.3484,153.3484,153.3484,153.3484,0.0,19.37775
2014-02-27,86.8508071899414,87.57646295028836,86.22805235719106,87.32193796702192,1229678,122.9678,122.9678,122.9678,122.9678,0.0,21.407321428571432
2014-02-28,87.34359741210938,87.82555842415326,86.75332473176745,86.81289571014693,2377931,237.7931,237.7931,237.7931,237.7931,0.0,28.332007142857144
2014-03-03,87.69558715820312,87.7714079619651,86.76956674154349,86.95369043112395,1381794,138.1794,138.1794,138.1794,138.1794,0.0,34.25139285714286
2014-03-04,89.0060806274414,89.16854371180762,88.31292471050396,88.64867238226078,1649245,164.9245,164.9245,164.9245,164.9245,0.0,35.774521428571425
2014-03-05,88.8707046508789,89.08189965023803,87.9013631709141,89.0169179248488,1379349,137.9349,137.9349,137.9349,137.9349,0.0,34.533092857142854
2014-03-06,88.57828521728516,89.31477118191349,88.17755576151126,89.31477118191349,1171107,117.1107,117.1107,117.1107,117.1107,0.0,35.76237857142857
2014-03-07,87.57099914550781,88.58366146259158,86.69913930691595,88.44286776778517,1573027,157.3027,157.3027,157.3027,157.3027,0.0,37.91267142857142
2014-03-10,87.13240051269531,87.81473509084206,86.68293033043498,87.48439809108739,1308978,130.8978,130.8978,130.8978,130.8978,0.0,36.721349999999994
2014-03-11,87.77140808105469,88.0421740796573,87.32734868121834,87.38691966034385,871660,87.166,87.166,87.166,87.166,0.0,38.759271428571424
2014-03-12,87.87429809570312,88.29669695038322,87.40316733048702,87.40316733048702,1090851,109.0851,109.0851,109.0851,109.0851,0.0,38.740292857142855
2014-03-13,87.58727264404297,88.18295600433802,87.24610542347556,88.14504560749013,928637,92.8637,92.8637,92.8637,92.8637,0.0,38.70536428571428
2014-03-14,87.22444152832031,88.17754189545562,86.97533614980483,87.43563651143124,1094040,109.404,109.404,109.404,109.404,0.0,38.15336428571428
2014-03-17,88.11797332763672,88.4266408997431,87.54936129951267,87.59810198297694,1328219,132.8219,132.8219,132.8219,132.8219,0.0,38.04022857142858
2014-03-18,88.52411651611328,88.57284841272414,87.63600668654801,88.09088749581026,1005917,100.5917,100.5917,100.5917,100.5917,0.0,38.57400714285715
2014-03-19,86.4500732421875,88.63786191672679,86.1901375192873,88.36709590469282,1682729,168.2729,168.2729,168.2729,168.2729,0.0,41.23833571428572
2014-03-20,86.8237075805664,86.8237075805664,85.06372898503737,86.59626278744656,1748529,174.8529,174.8529,174.8529,174.8529,0.0,33.506528571428575
2014-03-21,87.3381576538086,87.80387751717308,86.87785732526419,87.44646051334131,3037204,303.7204,303.7204,303.7204,303.7204,0.0,35.596085714285714
2014-03-24,86.8237075805664,87.53852403472924,85.98974919491837,87.29483820420775,1134965,113.4965,113.4965,113.4965,113.4965,0.0,47.27314285714285
2014-03-25,87.6793212890625,88.02047967462958,86.74788160002277,87.4464569749593,1286549,128.6549,128.6549,128.6549,128.6549,0.0,46.42805714285714
2014-03-26,86.37965393066406,88.12880235444307,86.37965393066406,87.92301812018962,1352030,135.203,135.203,135.203,135.203,0.0,45.40833571428571
2014-03-27,87.392333984375,87.41399456245331,85.88687988948494,86.30385919302665,1278364,127.8364,127.8364,127.8364,127.8364,0.0,43.06366428571429
2014-03-28,88.73534393310547,88.73534393310547,87.66852959733377,87.8255731982795,1568138,156.8138,156.8138,156.8138,156.8138,0.0,43.247414285714285
2014-03-31,88.81114959716797,89.26061978721174,87.9122092170804,88.85447075519293,1627134,162.7134,162.7134,162.7134,162.7134,0.0,40.545114285714284
2014-04-01,89.30935668945312,89.42307911628453,88.37250594403072,88.73533380261763,1236482,123.6482,123.6482,123.6482,123.6482,0.0,41.76983571428571
2014-04-02,89.06562042236328,89.3147257132355,88.49159786017039,89.08186145490288,1093827,109.3827,109.3827,109.3827,109.3827,0.0,41.630128571428564
2014-04-03,89.02233123779297,89.45555149379388,88.41580882549154,89.45555149379388,928956,92.8956,92.8956,92.8956,92.8956,0.0,41.62632857142857
2014-04-04,89.56385803222656,89.97542651516561,88.81655064448603,89.24436016645859,1466196,146.6196,146.6196,146.6196,146.6196,0.0,43.79104999999999
2014-04-07,90.47901916503906,90.98806007074619,89.72629248211537,89.85626467133332,2149918,214.9918,214.9918,214.9918,214.9918,0.0,46.37262142857143
2014-04-08,90.60360717773438,90.69566901775563,89.52596277675279,90.28952004144203,1317376,131.7376,131.7376,131.7376,131.7376,0.0,47.48497857142858
2014-04-09,90.66859436035156,90.95019064952189,89.90503704972782,90.62527320566215,1267946,126.7946,126.7946,126.7946,126.7946,0.0,47.36805
2014-04-10,90.46817779541016,91.00970948614199,90.22449204805446,90.66313166350515,2179363,217.9363,217.9363,217.9363,217.9363,0.0,44.673350000000006
2014-04-11,90.0999984741211,91.05850984373427,89.95919592605742,89.95919592605742,2116539,211.6539,211.6539,211.6539,211.6539,0.0,31.534671428571432
2014-04-14,91.02056884765625,91.08013981209989,90.35990383871662,90.48986726984432,1169619,116.9619,116.9619,116.9619,116.9619,0.0,37.21564285714286
2014-04-15,92.03327178955078,92.38526941248344,91.01519811370089,91.15058113916031,1935510,193.551,193.551,193.551,193.551,0.0,42.21857142857143
2014-04-16,92.92133331298828,93.08920712259732,91.83827846021393,92.49894341363293,1356388,135.6388,135.6388,135.6388,135.6388,0.0,45.82897142857143
2014-04-17,91.98448944091797,93.13253475928877,91.54043019874695,92.5422622811336,1973885,197.3885,197.3885,197.3885,197.3885,0.0,48.16985
2014-04-21,92.40690612792969,92.68850239680978,91.95201646908933,92.22820198586768,1228403,122.8403,122.8403,122.8403,122.8403,0.0,53.073321428571425
