Date,Close PLTR,High PLTR,Low PLTR,Open PLTR,Volume PLTR,Close,Open,High,Low,Volume,ATR
2020-09-30,9.5,11.40999984741211,9.109999656677246,10.0,338584400,3385.844,3385.844,3385.844,3385.844,0.0,0.0
2020-10-01,9.460000038146973,10.100000381469727,9.229999542236328,9.6899995803833,124297600,1242.976,1242.976,1242.976,1242.976,0.0,1071.434
2020-10-02,9.199999809265137,9.279999732971191,8.9399995803833,9.0600004196167,55018300,550.183,550.183,550.183,550.183,0.0,945.2203333333333
2020-10-05,9.029999732971191,9.489999771118164,8.920000076293945,9.430000305175781,36316900,363.169,363.169,363.169,363.169,0.0,755.66875
2020-10-06,9.899999618530273,10.180000305175781,8.899999618530273,9.039999961853027,90864000,908.64,908.64,908.64,908.64,0.0,713.6292000000001
2020-10-07,10.0,10.489999771118164,9.989999771118164,10.039999961853027,54672400,546.724,546.724,546.724,546.724,0.0,655.0103333333333
2020-10-08,10.0,10.399999618530273,9.989999771118164,10.289999961853027,34989200,349.892,349.892,349.892,349.892,0.0,589.5562857142858
2020-10-09,9.949999809265137,10.1899995803833,9.890000343322754,10.130000114440918,19653500,196.535,196.535,196.535,196.535,0.0,535.031375
2020-10-12,9.890000343322754,10.050000190734863,9.65999984741211,10.039999961853027,20623600,206.236,206.236,206.236,206.236,0.0,476.66133333333335
2020-10-13,9.470000267028809,9.880000114440918,9.40999984741211,9.880000114440918,21847200,218.472,218.472,218.472,218.472,0.0,430.2188
2020-10-14,9.34000015258789,9.65999984741211,9.289999961853027,9.600000381469727,13652600,136.526,136.526,136.526,136.526,0.0,398.5576363636364
2020-10-15,9.90999984741211,9.90999984741211,9.180000305175781,9.270000457763672,12924100,129.241,129.241,129.241,129.241,0.0,365.9515833333333
2020-10-16,9.710000038146973,9.949999809265137,9.65999984741211,9.9399995803833,11142500,111.425,111.425,111.425,111.425,0.0,339.17192307692306
2020-10-19,9.569999694824219,9.819999694824219,9.529999732971191,9.789999961853027,9126400,91.264,91.264,91.264,91.264,0.0,316.3854285714286
2020-10-20,9.270000457763672,9.65999984741211,9.270000457763672,9.600000381469727,11138200,111.382,111.382,111.382,111.382,0.0,317.8224285714286
2020-10-21,9.199999809265137,9.479999542236328,9.199999809265137,9.300000190734863,9190000,91.9,91.9,91.9,91.9,0.0,166.15200000000002
2020-10-22,9.680000305175781,9.75,9.220000267028809,9.369999885559082,17928600,179.286,179.286,179.286,179.286,0.0,122.90864285714285
