Date,Close NVDA,High NVDA,Low NVDA,Open NVDA,Volume NVDA,Close,Open,High,Low,Volume,ATR
2014-01-02,0.37388476729393005,0.3767136756686516,0.3705844116600659,0.37529922148129086,260092000,260.092,260.092,260.092,260.092,0.0,0.0
2014-01-03,0.3694057762622833,0.37529928960865266,0.36822707359300944,0.3745920623865907,259332000,259.332,259.332,259.332,259.332,0.0,0.37999999999999545
2014-01-06,0.37435629963874817,0.37718518012922797,0.36964146135130127,0.37317756899002236,409492000,409.492,409.492,409.492,409.492,0.0,50.30666666666667
2014-01-07,0.380485475063324,0.38189992913320875,0.375534942023689,0.37812807034850326,333288000,333.288,333.288,333.288,333.288,0.0,56.781000000000006
2014-01-08,0.38567179441452026,0.38755772383864134,0.38048548147256694,0.3818999355662781,308192000,308.192,308.192,308.192,308.192,0.0,50.444
2014-01-09,0.37129178643226624,0.38048565799945494,0.37011308350813976,0.3797784306244802,292172000,292.172,292.172,292.172,292.172,0.0,44.70666666666667
2014-01-10,0.3708202540874481,0.37506358990646327,0.36751989739626534,0.37247046053553173,218492000,218.492,218.492,218.492,218.492,0.0,48.845714285714294
2014-01-13,0.362097829580307,0.37317762969688145,0.36139060231701714,0.3708202242209086,243332000,243.332,243.332,243.332,243.332,0.0,45.845000000000006
2014-01-14,0.3734133541584015,0.37412058136993515,0.3623335267501791,0.363983732944587,241828000,241.828,241.828,241.828,241.828,0.0,40.91822222222223
2014-01-15,0.3774210512638092,0.37883550611302585,0.373413466661024,0.37506364525011243,175044000,175.044,175.044,175.044,175.044,0.0,43.5048
2014-01-16,0.378599613904953,0.37930684106735707,0.37577073335782285,0.3774209113351083,220652000,220.652,220.652,220.652,220.652,0.0,43.696
2014-01-17,0.3769494891166687,0.3830787545857183,0.37459208364434043,0.37859966732680056,340400000,340.4,340.4,340.4,340.4,0.0,50.03366666666667
2014-01-21,0.37836387753486633,0.3807212825953184,0.3743562945525948,0.3774208986491944,246076000,246.076,246.076,246.076,246.076,0.0,53.440615384615384
2014-01-22,0.377892404794693,0.37954258272809066,0.3734133182869162,0.3790711073331892,337940000,337.94,337.94,337.94,337.94,0.0,56.18514285714286
2014-01-23,0.37647804617881775,0.38072138201622574,0.37364916498804324,0.3767137979874208,185028000,185.028,185.028,185.028,185.028,0.0,67.10742857142857
2014-01-24,0.3668125569820404,0.3748277506361927,0.3668125569820404,0.3734132964317883,246696000,246.696,246.696,246.696,246.696,0.0,71.458
2014-01-27,0.3644552230834961,0.37199891473829205,0.36233354136332624,0.3668126284820254,233812000,233.812,233.812,233.812,233.812,0.0,61.65257142857143
2014-01-28,0.36799123883247375,0.36822699055415953,0.3623334504343537,0.36374790455950423,167996000,167.996,167.996,167.996,167.996,0.0,60.91057142857142
2014-01-29,0.3644552230834961,0.36869855842134663,0.36421947130264754,0.36657687670117683,162944000,162.944,162.944,162.944,162.944,0.0,59.47885714285714
2014-01-30,0.3705843687057495,0.37129159571745546,0.36539805602155934,0.36657675834024256,202896000,202.896,202.896,202.896,202.896,0.0,61.18828571428571
2014-01-31,0.37011298537254333,0.37223463883241603,0.3651624231628578,0.3653981468236842,335348000,335.348,335.348,335.348,335.348,0.0,65.3862857142857
2014-02-03,0.3651624321937561,0.3731775989098185,0.3637479777838685,0.3727061234740185,431728000,431.728,431.728,431.728,431.728,0.0,70.49628571428572
2014-02-04,0.3672840893268585,0.36799131653877426,0.36304075415785186,0.36492668402213124,280692000,280.692,280.692,280.692,280.692,0.0,81.17714285714285
2014-02-05,0.36398375034332275,0.36586968029673234,0.3611548413619638,0.3646909775886625,214676000,214.676,214.676,214.676,214.676,0.0,81.12228571428571
2014-02-06,0.3686986267566681,0.3696415778498526,0.36398381508575706,0.3644552906323493,168380000,168.38,168.38,168.38,168.38,0.0,81.17142857142858
2014-02-07,0.3741206228733063,0.37459209836580293,0.3663411788883929,0.3696415354383605,157248000,157.248,157.248,157.248,157.248,0.0,73.41314285714286
2014-02-10,0.37529921531677246,0.38024977678873595,0.3734132857987634,0.37364903752694556,324372000,324.372,324.372,324.372,324.372,0.0,78.61314285714286
2014-02-11,0.38307875394821167,0.38402170489457776,0.375535062069813,0.37742096396254526,235384000,235.384,235.384,235.384,235.384,0.0,78.40771428571429
2014-02-12,0.3967515528202057,0.3995804607343989,0.38425730320744805,0.38425730320744805,744528000,744.528,744.528,744.528,744.528,0.0,103.85285714285715
2014-02-13,0.4092458486557007,0.4116032815512842,0.39958050586547306,0.406652720244778,902836000,902.836,902.836,902.836,902.836,0.0,110.75571428571429
2014-02-14,0.422211617231369,0.4231545679391322,0.40523827967177006,0.40547403139995225,817536000,817.536,817.536,817.536,817.536,0.0,115.92828571428572
2014-02-18,0.42197591066360474,0.4238618403834485,0.41843980297732986,0.42244741417043,428988000,428.988,428.988,428.988,428.988,0.0,138.98057142857144
2014-02-19,0.4276336133480072,0.43140547202495777,0.42008989599410607,0.4219758253325813,450340000,450.34,450.34,450.34,450.34,0.0,140.14485714285715
2014-02-20,0.44272109866142273,0.4436640494470605,0.42786944112147424,0.42857664015946,398088000,398.088,398.088,398.088,398.088,0.0,141.02342857142858
2014-02-21,0.4394207298755646,0.4476716759959017,0.43659184931851286,0.4420138867793122,451052000,451.052,451.052,451.052,451.052,0.0,135.34571428571428
2014-02-24,0.4457857310771942,0.44908608693095686,0.43447018113181707,0.43847776412638173,403112000,403.112,403.112,403.112,403.112,0.0,131.8857142857143
2014-02-25,0.4437728524208069,0.4470881383892785,0.43903675380531126,0.4451936932972054,242184000,242.184,242.184,242.184,242.184,0.0,132.5922857142857
2014-02-26,0.44306251406669617,0.44945624232890474,0.44164167301759294,0.44282569781538633,360884000,360.884,360.884,360.884,360.884,0.0,136.35542857142858
